id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,emission_source,comment
62,MA200-0416,65,2023-05-12,2023-05-12,14:26:00,14:44:00,mobile_monitoring, -,
63,MA200-0416,65,2023-05-12,2023-05-12,15:18:00,15:41:00,mobile_monitoring, -,
64,MA200-0416,65,2023-05-12,2023-05-12,15:42:00,15:57:00,mobile_monitoring, -,
65,MA200-0420,57,2023-05-12,2023-05-12,09:14:00,09:39:00,mobile_monitoring, -,
66,MA200-0420,57,2023-05-12,2023-05-12,09:42:00,10:05:00,mobile_monitoring, -,
67,MA200-0420,57,2023-05-12,2023-05-12,10:28:00,10:49:00,mobile_monitoring, -,
68,MA200-0420,57,2023-05-12,2023-05-12,10:51:00,11:13:00,mobile_monitoring, -,
69,MA200-0420,57,2023-05-12,2023-05-12,13:54:00,14:22:00,mobile_monitoring, -,
70,MA200-0420,57,2023-05-12,2023-05-12,14:26:00,14:44:00,mobile_monitoring, -,
71,MA200-0420,57,2023-05-12,2023-05-12,15:18:00,15:41:00,mobile_monitoring, -,
72,MA200-0420,57,2023-05-12,2023-05-12,15:42:00,15:57:00,mobile_monitoring, -,
73,MA200-0416,66,2023-05-13,2023-05-13,09:03:00,09:24:00,mobile_monitoring, -,
74,MA200-0416,66,2023-05-13,2023-05-13,09:45:00,10:19:00,mobile_monitoring, -,
75,MA200-0416,66,2023-05-13,2023-05-13,10:30:00,11:06:00,mobile_monitoring, -,
76,MA200-0416,66,2023-05-13,2023-05-13,11:11:00,11:42:00,mobile_monitoring, -,
77,MA200-0416,67,2023-05-13,2023-05-13,13:53:00,14:12:00,mobile_monitoring, -,
78,MA200-0416,67,2023-05-13,2023-05-13,14:23:00,14:57:00,mobile_monitoring, -,
79,MA200-0416,67,2023-05-13,2023-05-13,15:10:00,15:39:00,mobile_monitoring, -,
80,MA200-0416,67,2023-05-13,2023-05-13,15:46:00,16:15:00,mobile_monitoring, -,
81,MA200-0416,68,2023-05-14,2023-05-14,09:37:00,10:02:00,mobile_monitoring, -,
82,MA200-0416,68,2023-05-14,2023-05-14,10:08:00,10:26:00,mobile_monitoring, -,
83,MA200-0416,68,2023-05-14,2023-05-14,11:01:00,11:19:00,mobile_monitoring, -,
84,MA200-0416,68,2023-05-14,2023-05-14,11:21:00,11:36:00,mobile_monitoring, -,
85,MA200-0416,68,2023-05-14,2023-05-14,13:48:00,14:08:00,mobile_monitoring, -,
86,MA200-0416,68,2023-05-14,2023-05-14,14:14:00,14:34:00,mobile_monitoring, -,
87,MA200-0416,68,2023-05-14,2023-05-14,14:53:00,15:14:00,mobile_monitoring, -,
88,MA200-0416,68,2023-05-14,2023-05-14,15:20:00,15:40:00,mobile_monitoring, -,
89,MA200-0420,59,2023-05-19,2023-05-19,09:25:00,10:54:00,personal_monitoring, -,
90,MA200-0420,59,2023-05-19,2023-05-19,14:50:00,16:49:00,personal_monitoring, -,
91,MA200-0416,77,2023-05-22,2023-05-22,14:30:00,15:45:00,personal_monitoring, -,
92,MA200-0416,78,2023-05-23,2023-05-23,09:25:00,10:28:00,personal_monitoring, -,
93,MA200-0416,79,2023-05-23,2023-05-23,14:05:00,14:59:00,personal_monitoring, -,
94,MA200-0416,80,2023-05-24,2023-05-24,09:53:00,11:17:00,personal_monitoring, -,
95,MA200-0416,81,2023-05-24,2023-05-24,14:09:00,15:19:00,personal_monitoring, -,
96,MA200-0416,83,2023-05-25,2023-05-25,09:55:00,11:01:00,personal_monitoring, -,
97,MA200-0416,84,2023-05-25,2023-05-25,16:35:00,16:55:00,waste_burning,Garden waste,
98,MA200-0416,84,2023-05-25,2023-05-25,17:25:00,17:45:00,waste_burning,Garden waste,
99,MA200-0416,84,2023-05-25,2023-05-25,18:20:00,18:40:00,waste_burning,Garden waste,
100,MA200-0416,85,2023-05-26,2023-05-26,10:04:00,10:24:00,waste_burning,Textiles,
101,MA200-0416,85,2023-05-26,2023-05-26,10:56:00,11:20:00,waste_burning,Textiles,
102,MA200-0416,85,2023-05-26,2023-05-26,11:50:00,12:12:00,waste_burning,Textiles,
103,MA200-0416,86,2023-05-26,2023-05-26,16:18:00,16:52:00,waste_burning,Plastics,"Fire stopped in between, started again at 16:32"
104,MA200-0416,86,2023-05-26,2023-05-26,17:22:00,17:56:00,waste_burning,Plastics,
105,MA200-0416,86,2023-05-26,2023-05-26,18:25:00,18:48:00,waste_burning,Plastics,
106,MA200-0416,88,2023-05-28,2023-05-28,08:47:00,09:07:00,waste_burning,Cardboard*,
107,MA200-0416,88,2023-05-28,2023-05-28,09:37:00,09:57:00,waste_burning,Cardboard*,
108,MA200-0416,88,2023-05-28,2023-05-28,10:32:00,10:56:00,waste_burning,Cardboard*,
109,MA200-0416,95,2023-05-31,2023-05-31,09:20:00,09:30:00,vehicles,Diesel truck,
110,MA200-0416,95,2023-05-31,2023-05-31,09:47:00,09:57:00,vehicles,Diesel truck,
111,MA200-0416,95,2023-05-31,2023-05-31,09:59:00,10:10:00,vehicles,Diesel truck,
112,MA200-0416,91,2023-05-29,2023-05-29,09:23:00,09:43:00,waste_burning,Mixed waste,
113,MA200-0416,91,2023-05-29,2023-05-29,10:14:00,10:34:00,waste_burning,Mixed waste,
114,MA200-0416,91,2023-05-29,2023-05-29,10:45:00,11:05:00,waste_burning,Mixed waste,
115,MA200-0416,91,2023-05-29,2023-05-29,11:52:00,12:12:00,waste_burning,Mixed waste,
116,MA200-0416,93,2023-05-30,2023-05-30,08:51:00,09:11:00,waste_burning,Mixed waste,
117,MA200-0416,98,2023-06-01,2023-06-01,15:10:00,15:30:00,waste_burning,Mixed waste,
118,MA200-0416,91,2023-05-29,2023-05-29,13:38:00,14:26:00,vehicles,Traffic road,
119,MA200-0416,92,2023-05-29,2023-05-29,16:35:00,17:15:00,vehicles,Traffic road,
120,MA200-0416,94,2023-05-30,2023-05-30,16:47:00,17:16:00,vehicles,Traffic road,
121,MA200-0416,74,2023-05-16,2023-05-16,16:55:00,17:15:00,cooking,Wood,
122,MA200-0420,58,2023-05-17,2023-05-17,11:59:00,12:19:00,cooking,Wood,
123,MA200-0416,82,2023-05-25,2023-05-25,08:20:00,08:40:00,cooking,Wood,
124,MA200-0420,60,2023-05-28,2023-05-28,12:00:00,18:00:00,sensor_collocation,aae,
125,MA200-0416,90,2023-05-28,2023-05-28,12:00:00,18:00:00,sensor_collocation,aae,
126,MA200-0420,61,2023-05-31,2023-06-01,20:41:00,02:40:00,sensor_collocation,aae,
127,MA200-0416,97,2023-05-31,2023-06-01,20:41:00,02:40:00,sensor_collocation,aae,
128,MA200-0420,67,2023-07-09,2023-07-09,11:04:59,20:59:59,sensor_collocation,pre_stationary,
129,MA200-0416,104,2023-07-09,2023-07-09,11:05:01,21:00:01,sensor_collocation,pre_stationary,
130,MA200-0420,69,2023-07-13,2023-07-14,08:25:00,01:55:00,stationary_monitoring,,
131,MA200-0416,107,2023-07-13,2023-07-14,08:25:00,08:30:00,stationary_monitoring,,
132,MA200-0420,71,2023-07-14,2023-07-15,08:55:00,10:10:00,stationary_monitoring,,
133,MA200-0416,108,2023-07-14,2023-07-14,13:30:01,18:30:01,stationary_monitoring,,
134,MA200-0420,72,2023-07-15,2023-07-17,12:20:00,06:10:00,stationary_monitoring,,
135,MA200-0416,109,2023-07-14,2023-07-19,18:55:01,14:10:01,stationary_monitoring,,
136,MA200-0420,73,2023-07-19,2023-07-24,13:05:00,06:40:30,stationary_monitoring,,
137,MA200-0416,110,2023-07-19,2023-07-24,14:40:00,01:40:00,stationary_monitoring,,
138,MA200-0416,111,2023-07-24,2023-07-24,01:50:00,19:05:00,stationary_monitoring,,
139,MA200-0416,113,2023-07-26,2023-07-30,01:25:00,00:20:00,stationary_monitoring,,
140,MA200-0420,74,2023-07-24,2023-07-28,09:05:00,20:45:00,stationary_monitoring,,
141,MA200-0420,75,2023-07-28,2023-07-31,21:45:00,06:25:00,stationary_monitoring,,
142,MA200-0420,76,2023-07-31,2023-08-01,08:55:00,17:15:00,stationary_monitoring,,
143,MA200-0420,77,2023-08-01,2023-08-04,17:25:01,09:05:01,stationary_monitoring,,
144,MA200-0416,114,2023-07-30,2023-08-04,14:20:00,08:35:00,stationary_monitoring,,
145,MA200-0416,115,2023-08-04,2023-08-09,08:45:00,18:45:00,stationary_monitoring,,
146,MA200-0416,116,2023-08-09,2023-08-14,18:55:00,17:05:00,stationary_monitoring,,
147,MA200-0420,78,2023-08-04,2023-08-08,09:15:00,12:30:00,stationary_monitoring,,
148,MA200-0420,79,2023-08-08,2023-08-14,12:45:00,10:30:00,stationary_monitoring,,
149,MA200-0420,80,2023-08-14,2023-08-17,14:40:06,21:45:06,stationary_monitoring,,
150,MA200-0420,81,2023-08-18,2023-08-20,08:00:01,21:05:01,stationary_monitoring,,
151,MA200-0420,82,2023-08-21,2023-08-22,08:05:00,11:10:00,stationary_monitoring,,
152,MA200-0416,117,2023-08-14,2023-08-15,17:24:59,01:19:59,stationary_monitoring,,
153,MA200-0416,118,2023-08-15,2023-08-17,07:00:00,01:50:00,stationary_monitoring,,
154,MA200-0416,119,2023-08-17,2023-08-17,01:55:05,18:15:04,stationary_monitoring,,
155,MA200-0416,120,2023-08-17,2023-08-19,21:35:01,14:25:01,stationary_monitoring,,
156,MA200-0416,121,2023-08-19,2023-08-20,20:50:00,23:05:00,stationary_monitoring,,
157,MA200-0416,122,2023-08-20,2023-08-22,23:40:00,19:05:00,stationary_monitoring,,
158,MA200-0416,123,2023-08-24,2023-08-24,11:05:00,21:00:00,sensor_collocation,post_stationary,
159,MA200-0420,83,2023-08-24,2023-08-24,11:05:00,21:00:00,sensor_collocation,post_stationary,
