id_road_type,id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,type_of_road
146,72,MA200-0420,57,2023-05-12,2023-05-12,15:42:00,15:57:00,mobile_monitoring,non_main_road
147,73,MA200-0416,66,2023-05-13,2023-05-13,09:03:00,09:24:00,mobile_monitoring,non_main_road
148,74,MA200-0416,66,2023-05-13,2023-05-13,09:46:00,10:19:00,mobile_monitoring,non_main_road
149,75,MA200-0416,66,2023-05-13,2023-05-13,10:30:00,10:49:30,mobile_monitoring,non_main_road
150,75,MA200-0416,66,2023-05-13,2023-05-13,10:50:00,11:06:00,mobile_monitoring,main_road
151,76,MA200-0416,66,2023-05-13,2023-05-13,11:13:00,11:24:00,mobile_monitoring,non_main_road
152,76,MA200-0416,66,2023-05-13,2023-05-13,11:24:30,11:29:30,mobile_monitoring,main_road
153,76,MA200-0416,66,2023-05-13,2023-05-13,11:30:00,11:34:30,mobile_monitoring,non_main_road
154,76,MA200-0416,66,2023-05-13,2023-05-13,11:35:00,11:38:30,mobile_monitoring,main_road
155,76,MA200-0416,66,2023-05-13,2023-05-13,11:39:00,11:42:00,mobile_monitoring,non_main_road
156,77,MA200-0416,67,2023-05-13,2023-05-13,13:53:00,14:12:00,mobile_monitoring,non_main_road
157,78,MA200-0416,67,2023-05-13,2023-05-13,14:24:30,14:57:00,mobile_monitoring,non_main_road
158,79,MA200-0416,67,2023-05-13,2023-05-13,15:10:00,15:28:30,mobile_monitoring,non_main_road
159,79,MA200-0416,67,2023-05-13,2023-05-13,15:29:00,15:39:00,mobile_monitoring,main_road
160,80,MA200-0416,67,2023-05-13,2023-05-13,15:46:30,15:57:00,mobile_monitoring,non_main_road
161,80,MA200-0416,67,2023-05-13,2023-05-13,15:57:30,16:02:30,mobile_monitoring,main_road
162,80,MA200-0416,67,2023-05-13,2023-05-13,16:03:00,16:08:00,mobile_monitoring,non_main_road
163,80,MA200-0416,67,2023-05-13,2023-05-13,16:08:30,16:12:00,mobile_monitoring,main_road
164,80,MA200-0416,67,2023-05-13,2023-05-13,16:12:30,16:15:00,mobile_monitoring,non_main_road
165,81,MA200-0416,68,2023-05-14,2023-05-14,09:37:00,09:39:30,mobile_monitoring,main_road
166,81,MA200-0416,68,2023-05-14,2023-05-14,09:40:00,09:58:00,mobile_monitoring,non_main_road
167,81,MA200-0416,68,2023-05-14,2023-05-14,09:58:30,10:02:00,mobile_monitoring,main_road
168,82,MA200-0416,68,2023-05-14,2023-05-14,10:08:00,10:17:30,mobile_monitoring,non_main_road
169,82,MA200-0416,68,2023-05-14,2023-05-14,10:18:00,10:19:30,mobile_monitoring,main_road
170,82,MA200-0416,68,2023-05-14,2023-05-14,10:20:00,10:26:00,mobile_monitoring,non_main_road
171,83,MA200-0416,68,2023-05-14,2023-05-14,11:02:00,11:11:30,mobile_monitoring,non_main_road
172,83,MA200-0416,68,2023-05-14,2023-05-14,11:12:00,11:14:00,mobile_monitoring,main_road
173,83,MA200-0416,68,2023-05-14,2023-05-14,11:14:30,11:19:00,mobile_monitoring,non_main_road
174,84,MA200-0416,68,2023-05-14,2023-05-14,11:21:00,11:36:00,mobile_monitoring,non_main_road
175,85,MA200-0416,68,2023-05-14,2023-05-14,13:48:00,13:50:00,mobile_monitoring,main_road
176,85,MA200-0416,68,2023-05-14,2023-05-14,13:50:30,14:04:30,mobile_monitoring,non_main_road
177,85,MA200-0416,68,2023-05-14,2023-05-14,14:05:00,14:08:00,mobile_monitoring,main_road
178,86,MA200-0416,68,2023-05-14,2023-05-14,14:14:00,14:22:30,mobile_monitoring,non_main_road
179,86,MA200-0416,68,2023-05-14,2023-05-14,14:23:00,14:24:30,mobile_monitoring,main_road
180,86,MA200-0416,68,2023-05-14,2023-05-14,14:25:00,14:32:00,mobile_monitoring,non_main_road
181,86,MA200-0416,68,2023-05-14,2023-05-14,14:32:30,14:34:00,mobile_monitoring,main_road
182,87,MA200-0416,68,2023-05-14,2023-05-14,14:53:30,15:07:00,mobile_monitoring,non_main_road
183,87,MA200-0416,68,2023-05-14,2023-05-14,15:07:30,15:08:30,mobile_monitoring,main_road
184,87,MA200-0416,68,2023-05-14,2023-05-14,15:09:00,15:13:30,mobile_monitoring,non_main_road
185,88,MA200-0416,68,2023-05-14,2023-05-14,15:20:00,15:40:00,mobile_monitoring,non_main_road
